TableName,ColumnName,Description,PK,DataType,Length,DefaultValue,Nullable,ForeignTable,ForeignCol
FuelsVegetation                                   ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
FuelsVegetation                                   ,Cover                                                                      ,,FALSE,Double                   ,8,                                                  ,TRUE,,
FuelsVegetation                                   ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
FuelsVegetation                                   ,Height                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
FuelsVegetation                                   ,Item                                                                       ,,TRUE,Text                     ,255,                                                  ,FALSE,,
FuelsVegetation                                   ,Offset                                                                     ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
FuelsVegetation                                   ,SampleLoc                                                                  ,,TRUE,Integer                  ,4,                                                  ,FALSE,,
FuelsVegetation                                   ,Transect                                                                   ,,TRUE,Integer                  ,4,                                                  ,FALSE,,
GroundCover                                       ,BareSoil                                                                   ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,Bole                                                                       ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
GroundCover                                       ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
GroundCover                                       ,Gravel                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,Litter                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,PlantBasal                                                                 ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,Rock                                                                       ,,FALSE,Double                   ,8,                                                  ,TRUE,,
PhotoLog                                          ,BackDesc                                                                   ,Background descriptors,FALSE,Memo                     ,0,                                                  ,TRUE,,
PhotoLog                                          ,Comment                                                                    ,Additional comments,FALSE,Memo                     ,0,                                                  ,TRUE,,
PhotoLog                                          ,Crew                                                                       ,Crew intials of who took the photos,FALSE,Text                     ,255,                                                  ,TRUE,,
PhotoLog                                          ,DateTime                                                                   ,Date the photo was taken,FALSE,Date/Time                ,8,                                                  ,TRUE,,
PhotoLog                                          ,Direction                                                                  ,Direction facing when the photo was taken,FALSE,Text                     ,255,                                                  ,TRUE,,
PhotoLog                                          ,Distance                                                                   ,Distance from photo target (default in feet),FALSE,Double                   ,8,0,TRUE,,
PhotoLog                                          ,DistanceUnits                                                              ,Default units for distance,FALSE,Text                     ,255,"""Feet""                                            ",TRUE,,
PhotoLog                                          ,EventID                                                                    ,Event ID,FALSE,Text                     ,255,                                                  ,FALSE,,
PhotoLog                                          ,ForeDesc                                                                   ,Foreground descriptors,FALSE,Memo                     ,0,                                                  ,TRUE,,
PhotoLog                                          ,Lat                                                                        ,Latitude of photo location (dd.ddd),FALSE,Double                   ,8,                                                  ,TRUE,,
PhotoLog                                          ,Long                                                                       ,Longitude of the photo location (ddd.ddd),FALSE,Double                   ,8,                                                  ,TRUE,,
PhotoLog                                          ,PhotoID                                                                    ,ID of the photo,TRUE,Text                     ,255,                                                  ,FALSE,,
PhotoLog                                          ,PhotoNum                                                                   ,Photo ID produced by the camera,FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,AdminUnit                                                                  ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,Aspect                                                                     ,,FALSE,Integer                  ,2,                                                  ,TRUE,,
Plot                                              ,Azimuth                                                                    ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
Plot                                              ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
Plot                                              ,Datum                                                                      ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,Elevation                                                                  ,,FALSE,Double                   ,8,                                                  ,TRUE,,
Plot                                              ,LatDD                                                                      ,,FALSE,Double                   ,8,                                                  ,TRUE,,
Plot                                              ,LongDD                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
Plot                                              ,PlotID                                                                     ,,TRUE,Text                     ,255,                                                  ,FALSE,,
Plot                                              ,PlotName                                                                   ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,PlotType                                                                   ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,Slope                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
Plot                                              ,UtmX                                                                       ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,UtmY                                                                       ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Project                                           ,AdminUnit                                                                  ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Project                                           ,Agency                                                                     ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Project                                           ,Area                                                                       ,,FALSE,Double                   ,8,                                                  ,TRUE,,
Project                                           ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
Project                                           ,DateCreated                                                                ,,FALSE,Date/Time                ,8,                                                  ,FALSE,,
Project                                           ,Description                                                                ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
Project                                           ,Objective                                                                  ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
Project                                           ,ProjectID                                                                  ,,TRUE,Text                     ,255,                                                  ,FALSE,,
Project                                           ,ProjectName                                                                ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectDetail                                     ,Acres                                                                      ,,FALSE,Double                   ,8,                                                  ,TRUE,,
ProjectDetail                                     ,BreakDiam                                                                  ,,FALSE,Double                   ,8,                                                  ,TRUE,,
ProjectDetail                                     ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
ProjectDetail                                     ,Crew                                                                       ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectDetail                                     ,LongTerm                                                                   ,,FALSE,Yes/No                   ,1,                                                  ,TRUE,,
ProjectDetail                                     ,NumBrowns                                                                  ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
ProjectDetail                                     ,PlotSize                                                                   ,,FALSE,Double                   ,8,                                                  ,TRUE,,
ProjectDetail                                     ,Project                                                                    ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectDetail                                     ,ProjectID                                                                  ,,TRUE,Text                     ,255,                                                  ,FALSE,,
ProjectDetail                                     ,ProposalID                                                                 ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectDetail                                     ,TxClass                                                                    ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectDetail                                     ,TxDates                                                                    ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectVisit                                      ,MonitoringStatus                                                           ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectVisit                                      ,ProjectID                                                                  ,,FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectVisit                                      ,VisitID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
ProjectVisit                                      ,VisitNotes                                                                 ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
ProjectVisit                                      ,VisitOrder                                                                 ,,FALSE,Integer                  ,2,                                                  ,TRUE,,
ProjectVisit                                      ,VisitYear                                                                  ,,FALSE,Integer                  ,2,                                                  ,TRUE,,
Species                                           ,BaseSymbol                                                                 ,USDA symbol (one:many relationship),FALSE,Text                     ,255,                                                  ,TRUE,,
Species                                           ,CommonName                                                                 ,State Common Name,FALSE,Text                     ,255,                                                  ,TRUE,,
Species                                           ,Family                                                                     ,Latin family of plant,FALSE,Text                     ,255,                                                  ,TRUE,,
Species                                           ,SciName                                                                    ,Scientific Name with Author,FALSE,Text                     ,255,                                                  ,TRUE,,
Species                                           ,Symbol                                                                     ,Used USDA symbol,TRUE,Text                     ,255,                                                  ,FALSE,,
Species                                           ,SynSymbol                                                                  ,USDA synonym (used for subspecies and variations),FALSE,Text                     ,255,                                                  ,TRUE,,
Transect                                          ,Azimuth                                                                    ,Azimuth of transect,FALSE,Integer                  ,2,                                                  ,TRUE,,
Transect                                          ,EventID                                                                    ,Event ID,TRUE,Text                     ,255,                                                  ,FALSE,,
Transect                                          ,Length                                                                     ,Length of transect in feet,FALSE,Integer                  ,2,                                                  ,TRUE,,
Transect                                          ,Slope                                                                      ,Slope of transect,FALSE,Double                   ,8,                                                  ,TRUE,,
Transect                                          ,TransNum                                                                   ,Transect number for the sample event,TRUE,Integer                  ,2,                                                  ,FALSE,,
TreesIndv                                         ,Age                                                                        ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
TreesIndv                                         ,Cfbh                                                                       ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesIndv                                         ,CharHeight                                                                 ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesIndv                                         ,Ckr                                                                        ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
TreesIndv                                         ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
TreesIndv                                         ,CrownClass                                                                 ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,CrownRad                                                                   ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesIndv                                         ,CrownRatio                                                                 ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,CrownScPerc                                                                ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
TreesIndv                                         ,DamageCode1                                                                ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,DamageCode2                                                                ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,DamageCode3                                                                ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,DamageCode4                                                                ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,DamageCode5                                                                ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,DamageSev1                                                                 ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,DamageSev2                                                                 ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,DamageSev3                                                                 ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,DamageSev4                                                                 ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,DamageSev5                                                                 ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,Dbh                                                                        ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesIndv                                         ,DecayClass                                                                 ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,Drc                                                                        ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesIndv                                         ,EqDiam                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesIndv                                         ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
TreesIndv                                         ,GrowthRate                                                                 ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,Height                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesIndv                                         ,LadderBase                                                                 ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesIndv                                         ,LadderMax                                                                  ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesIndv                                         ,Lcbh                                                                       ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesIndv                                         ,Mort                                                                       ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,NumDeadStems                                                               ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
TreesIndv                                         ,NumLiveStems                                                               ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
TreesIndv                                         ,Qtr                                                                        ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
TreesIndv                                         ,ScorchHeight                                                               ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesIndv                                         ,Species                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
TreesIndv                                         ,Status                                                                     ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,StemNum                                                                    ,Number of stems on tree,TRUE,Integer                  ,2,0,FALSE,,
TreesIndv                                         ,SubFrac                                                                    ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesIndv                                         ,TagNum                                                                     ,,TRUE,Integer                  ,4,                                                  ,FALSE,,
TreesIndv                                         ,XCoord                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesIndv                                         ,YCoord                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesSaplings                                     ,AverageHeight                                                              ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesSaplings                                     ,AvgCrownRatio                                                              ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesSaplings                                     ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
TreesSaplings                                     ,Count                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
TreesSaplings                                     ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
TreesSaplings                                     ,SizeClassDiam                                                              ,,TRUE,Double                   ,8,                                                  ,FALSE,,
TreesSaplings                                     ,Species                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
TreesSaplings                                     ,Status                                                                     ,,TRUE,Text                     ,255,                                                  ,FALSE,,
TreesSaplings                                     ,SubplotFraction                                                            ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
TreesSeedlings                                    ,AgeClass                                                                   ,,FALSE,Text                     ,255,                                                  ,TRUE,,
TreesSeedlings                                    ,AverageDiam                                                                ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesSeedlings                                    ,AvgCrownRatio                                                              ,,FALSE,Double                   ,8,                                                  ,TRUE,,
TreesSeedlings                                    ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
TreesSeedlings                                    ,Count                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
TreesSeedlings                                    ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
TreesSeedlings                                    ,SizeClassHt                                                                ,,TRUE,Double                   ,8,                                                  ,FALSE,,
TreesSeedlings                                    ,Species                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
TreesSeedlings                                    ,Status                                                                     ,,TRUE,Text                     ,255,                                                  ,FALSE,,
TreesSeedlings                                    ,SubplotFraction                                                            ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
WitnessTree                                       ,AzFromPc                                                                   ,,FALSE,Double                   ,8,                                                  ,TRUE,,
WitnessTree                                       ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
WitnessTree                                       ,ConditionNotes                                                             ,,FALSE,Text                     ,255,                                                  ,TRUE,,
WitnessTree                                       ,Dbh                                                                        ,,FALSE,Double                   ,8,                                                  ,TRUE,,
WitnessTree                                       ,DistFromPc                                                                 ,,FALSE,Double                   ,8,                                                  ,TRUE,,
WitnessTree                                       ,EventID                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
WitnessTree                                       ,FlagColor                                                                  ,,FALSE,Text                     ,255,                                                  ,TRUE,,
WitnessTree                                       ,Ht                                                                         ,,FALSE,Double                   ,8,                                                  ,TRUE,,
WitnessTree                                       ,LiCrBHt                                                                    ,,FALSE,Double                   ,8,                                                  ,TRUE,,
WitnessTree                                       ,TreeTag                                                                    ,,TRUE,Integer                  ,4,                                                  ,FALSE,,
WitnessTree                                       ,WitCondition                                                               ,,FALSE,Text                     ,255,                                                  ,TRUE,,
WitnessTree                                       ,WitSpecies                                                                 ,,FALSE,Text                     ,255,                                                  ,TRUE,,
